handle,title,body_html,vendor,product_type,tags,published
heavy-duty-mobile-fittings-cabinet,Heavy-Duty Mobile Fittings Cabinet – Secure Steel Storage with Adjustable Shelves,,,,cabinet,storage,steel furniture,heavy duty,TRUE
professional-long-neck-jamb-saw,Professional Long Neck Jamb Saw for Flooring Installers – Precision Door Jamb Undercutting Power Tool with Adjustable Depth and Carry Case,,,,jamb saw,flooring tools,power tool,installer tools,TRUE
high-performance-replacement-jamb-saw-blades,High-Performance Replacement Jamb Saw Blades with Carbide Tip and Masonry Options for Precision Flooring Cuts,,,,saw blades,carbide blades,replacement blades,flooring tools,TRUE
powerful-1400w-concrete-grinder,Powerful 1400W Concrete Grinder for Professional Cutting & Polishing – 125mm Disc, Multi-Material Surface Tool,,,,concrete grinder,construction tools,cutting tools,power tools,TRUE
premium-coloured-silicone-sealant,Premium Coloured Silicone Sealant for Floors and Bathrooms – High-Quality, Low Odour & Fitter Friendly | Colourseal,,,,silicone,sealant,bathroom,flooring accessories,colourseal,TRUE
premium-lvt-bevel-cap-trim,Premium LVT Bevel Cap Trim for Luxury Vinyl Flooring – Discreet, Durable & Stylish Finishing Solution,,,,lvt trim,floor trim,vinyl flooring,finishing trim,TRUE
mesh-base-turntable-trucks,Mesh Base Turntable Trucks with Puncture-Proof Wheels,,,,warehouse trolley,turntable truck,material handling,puncture proof,TRUE
double-depth-changing-room-bench,Double Depth Changing Room Bench with Shoe Storage - Solid Oak Slats,,,,bench,changing room,furniture,oaked wood,TRUE
28l-oil-chemical-spill-tray,28L Oil and Chemical Spill Tray for Safe Workplace Spill Containment (2 x 25L drum) - Up to 50kg,,,,spill tray,chemical containment,oil tray,workplace safety,TRUE
durable-outdoor-cambridge-cycle-shelter-2-5m-polycarbonate,Durable Outdoor Cambridge Cycle Shelter 2m–5m with Polycarbonate Curved Roof for Secure Bike Storage,,,,bike shelter,cycle storage,outdoor shelter,polycarbonate roof,TRUE
durable-cambridge-cycle-shelter-extension-bays,Durable Cambridge Cycle Shelter 2m–5m with Curved Polycarbonate Roof and Extension Bays – Heavy-Duty Outdoor Bike Storage Solution,,,,cycle shelter,bike storage,extension bay,outdoor shelter,TRUE
heavy-duty-cambridge-cycle-shelter-galvanised,Heavy-Duty Cambridge Cycle Shelter 2m–5m with Galvanised Curved Roof | Outdoor Bike Storage & Weather Protection,,,,cycle shelter,galvanised roof,bike storage,outdoor protection,TRUE
heavy-duty-cambridge-cycle-shelter-extension-bays,Heavy-Duty Cambridge Cycle Shelter 2m–5m Extension Bays with Galvanised Curved Roof for Secure Outdoor Bike Storage,,,,cycle shelter extension,bike storage,galvanised steel,outdoor shelter,TRUE
heavy-duty-type-a-galvanised-cycle-rack,Heavy-Duty Type A Galvanised Steel Cycle Rack – Double-Sided High-Density Bike Storage for Urban and Commercial Spaces,,,,cycle rack,bike rack,galvanised steel,high density storage,TRUE
heavy-duty-750mm-traffic-cone,Heavy-Duty 750mm 1-Piece Traffic Cone with High-Visibility Reflective Sleeve for Road Safety & Construction Sites,,,,traffic cone,road safety,construction,reflective sleeve,TRUE

industrial-mobile-workbench,Industrial Mobile Workbench with Lockable Drawers – Heavy-Duty Steel Frame,,,,workbench,steel furniture,industrial,storage,TRUE
adjustable-steel-shelving-unit,Adjustable Steel Shelving Unit – Heavy Load Commercial Storage Rack,,,,shelving,storage rack,warehouse,steel frame,TRUE
full-height-industrial-lockers,Full Height Industrial Steel Lockers with Ventilated Doors,,,,lockers,industrial furniture,steel storage,ventilated,TRUE
